Gene	No-Effect	Very Weak (35%)	Strong & Weak	Low (25%)	Cyto	p_No-Effect	p_Very Weak (35%)	p_Strong & Weak	p_Low (25%)	p_Cyto	padj_noeffect	padj_Cyto	padj_StrWeak	padj_vWeak	padj_low
AFG3L2	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
AGER	3	0	0	0	0	0.508705284703027	1	1	1	1	1	1	1	1	1
AGTR1	11	1	3	1	0	0.915270184310363	0.559984855958957	0.097003877641783	0.601930221985002	1	1	1	1	1	1
AGTR2	1	1	1	1	0	0.998340303522559	0.185633806436352	0.251910645449161	0.205787517164507	1	1	1	1	1	1
AGXT	2	0	1	0	0	0.894302246872106	1	0.195620690318418	1	1	1	1	1	1	1
AGXT2	2	0	1	0	0	0.894302246872106	1	0.195620690318418	1	1	1	1	1	1	1
AHCY	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
AHR	9	0	0	0	0	0.131720509620428	1	1	1	1	1	1	1	1	1
AIFM1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
AKR1A1	2	1	0	0	0	0.894302246872106	0.142741396965398	1	1	1	1	1	1	1	1
AKR1B1	16	2	0	0	0	0.265611197164827	0.226838968846381	1	1	1	1	1	1	1	1
AKR1B10	1	1	0	0	0	0.95928832113685	0.0975857713914875	1	1	1	1	1	1	1	1
AKR1C1	3	0	0	1	0	0.816499971234999	1	1	0.205787517164507	1	1	1	1	1	1
AKR1C2	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
AKR1C3	6	0	0	1	0	0.571965693527047	1	1	0.331790753920129	1	1	1	1	1	1
AKR1C4	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
AKR1D1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
AKT1	21	3	1	2	2	0.886661477406359	0.17564340220707	0.877769461772759	0.488122311018194	0.174288146226027	1	1	1	1	1
AKT2	8	0	1	1	1	0.83489867405647	1	0.549722561508557	0.4692241628363	0.251949407314278	1	1	1	1	1
AKT3	7	0	1	1	1	0.875955432732409	1	0.51586336197673	0.437777578381115	0.231954759327002	1	1	1	1	1
ALAD	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ALAS1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ALAS2	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ALB	3	0	1	1	0	0.940697363015372	1	0.304256964937203	0.250232830181434	1	1	1	1	1	1
ALDH18A1	0	1	0	0	0	1	0.0500472955542181	1	1	1	1	1	1	1	1
ALDH1A1	2	1	0	0	0	0.894302246872106	0.142741396965398	1	1	1	1	1	1	1	1
ALDH1A2	3	1	0	0	0	0.816499971234999	0.185633806436352	1	1	1	1	1	1	1	1
ALDH1A3	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ALDH1B1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ALDH2	7	0	0	0	0	0.206642655951645	1	1	1	1	1	1	1	1	1
ALDH3A1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ALDH3A2	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ALDH3B1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ALDH3B2	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ALDH4A1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ALDH5A1	4	0	0	0	0	0.406107055859036	1	1	1	1	1	1	1	1	1
ALDH6A1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ALDH7A1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ALDH9A1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ALK	11	1	2	0	0	0.692146802700458	0.512464020390946	0.256454224890607	1	1	1	1	1	1	1
ALOX12	0	0	0	1	0	1	1	1	0.0559807378106458	1	1	1	1	1	1
ALOX15B	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ALOX5	23	2	0	5	0	0.752838455603847	0.446746658967078	1	0.0244311348692172	1	1	1	1	1	1
ALOX5AP	4	0	0	0	0	0.406107055859036	1	1	1	1	1	1	1	1	1
ALPL	0	1	0	0	0	1	0.0500472955542181	1	1	1	1	1	1	1	1
AMD1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
AMHR2	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
AMT	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
AMY1A	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
AMY2A	1	0	0	1	0	0.95928832113685	1	1	0.108823088600437	1	1	1	1	1	1
AMY2B	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ANG	3	0	0	0	0	0.508705284703027	1	1	1	1	1	1	1	1	1
ANO1	4	0	1	3	0	0.989163254551386	1	0.440304396917806	0.00796555695112218	1	1	1	1	1	1
ANPEP	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ANXA1	1	1	0	0	0	0.95928832113685	0.0975857713914875	1	1	1	1	1	1	1	1
AOC1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
AOC3	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
AOX1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
APAF1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
APC	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
APEX1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
APH1A	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
APH1B	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
APP	10	0	0	0	0	0.105168153926191	1	1	1	1	1	1	1	1	1
APRT	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
AQP1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
AQP9	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
AR	34	2	0	3	0	0.173655165834882	0.587147884151154	1	0.374101299913289	1	1	1	1	1	1
ARAF	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ARF1	0	0	0	0	1	1	1	1	1	0.0260555507782269	1	1	1	1	1
ARG1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ARG2	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ARPC1B	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ARPC2	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ARPC3	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ARPC4	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ARPC5	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ASIC1	6	0	0	0	0	0.25883166131956	1	1	1	1	1	1	1	1	1
ASIC2	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ASIC3	5	0	0	1	0	0.651092047272845	1	1	0.29218731080305	1	1	1	1	1	1
ASL	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ASNS	2	2	0	0	0	0.972104522509213	0.0140641685525357	1	1	1	1	1	1	1	1
ASPA	0	1	0	0	0	1	0.0500472955542181	1	1	1	1	1	1	1	1
ASPH	1	1	0	0	0	0.95928832113685	0.0975857713914875	1	1	1	1	1	1	1	1
ASRGL1	1	1	0	0	0	0.95928832113685	0.0975857713914875	1	1	1	1	1	1	1	1
ASS1	3	1	0	0	0	0.816499971234999	0.185633806436352	1	1	1	1	1	1	1	1
ATF1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ATF2	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ATF3	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ATF4	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ATF5	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ATF6	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ATF7	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ATIC	0	1	0	0	0	1	0.0500472955542181	1	1	1	1	1	1	1	1
ATM	2	0	2	1	0	0.99304262883844	1	0.0425253674969966	0.250232830181434	1	1	1	1	1	1
ATOX1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ATP1A1	9	0	6	0	1	0.992564466503154	1	0.000516009743833186	1	0.344357991214783	1	1	0.266003022946007	1	1
ATP1A2	0	0	2	0	0	1	1	0.00490523624227302	1	1	1	1	0.38902296659873	1	1
ATP1A3	0	0	2	0	0	1	1	0.00490523624227302	1	1	1	1	0.38902296659873	1	1
ATP1A4	0	0	2	0	0	1	1	0.00490523624227302	1	1	1	1	0.38902296659873	1	1
ATP1B1	0	0	2	0	0	1	1	0.00490523624227302	1	1	1	1	0.38902296659873	1	1
ATP1B2	0	0	2	0	0	1	1	0.00490523624227302	1	1	1	1	0.38902296659873	1	1
ATP1B3	0	0	2	0	0	1	1	0.00490523624227302	1	1	1	1	0.38902296659873	1	1
ATP2A1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ATP2A2	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
ATP2C1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ATP4A	8	1	0	2	0	0.83489867405647	0.431369742203747	1	0.123311733829269	1	1	1	1	1	1
ATP4B	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
ATP6V1A	3	0	0	0	0	0.508705284703027	1	1	1	1	1	1	1	1	1
ATR	3	0	1	0	1	0.940697363015372	1	0.304256964937203	1	0.123643277991489	1	1	1	1	1
AURKA	23	0	0	0	2	0.0949823324234086	1	1	1	0.137629286324867	1	1	1	1	1
AURKB	23	0	0	0	2	0.0949823324234086	1	1	1	0.137629286324867	1	1	1	1	1
AURKC	10	0	0	0	0	0.105168153926191	1	1	1	1	1	1	1	1	1
AVPR1A	14	0	0	2	0	0.345622500246793	1	1	0.224754309331111	1	1	1	1	1	1
AVPR1B	5	0	0	2	0	0.848907931637341	1	1	0.0545666521005762	1	1	1	1	1	1
AVPR2	10	0	0	2	0	0.552230991374997	1	1	0.142687584663683	1	1	1	1	1	1
AXIN1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
AXL	3	0	1	0	1	0.940697363015372	1	0.304256964937203	1	0.123643277991489	1	1	1	1	1
AZIN2	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
B2M	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
B4GALT1	0	0	0	1	0	1	1	1	0.0559807378106458	1	1	1	1	1	1
B4GALT2	0	0	0	1	0	1	1	1	0.0559807378106458	1	1	1	1	1	1
B4GALT3	0	0	0	1	0	1	1	1	0.0559807378106458	1	1	1	1	1	1
B4GALT4	0	0	0	1	0	1	1	1	0.0559807378106458	1	1	1	1	1	1
BAAT	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
BACE1	7	0	0	0	0	0.206642655951645	1	1	1	1	1	1	1	1	1
BAX	1	0	1	0	0	0.95928832113685	1	0.135089604242721	1	1	1	1	1	1	1
BAZ2A	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
BAZ2B	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
BBOX1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
BCAT1	2	1	0	0	0	0.894302246872106	0.142741396965398	1	1	1	1	1	1	1	1
BCAT2	2	1	0	0	0	0.894302246872106	0.142741396965398	1	1	1	1	1	1	1	1
BCHE	15	1	0	0	0	0.137289973336915	0.559984855958957	1	1	1	1	1	1	1	1
BCL2	10	0	2	0	1	0.741895986246045	1	0.229803887530027	1	0.290385794133882	1	1	1	1	1
BCL2L1	2	0	1	0	1	0.972104522509213	1	0.251910645449161	1	0.100206730174315	1	1	1	1	1
BCL2L2	1	0	1	0	0	0.95928832113685	1	0.135089604242721	1	1	1	1	1	1	1
BCR	7	0	2	0	0	0.733553674554258	1	0.127101873305943	1	1	1	1	1	1	1
BDH1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
BDKRB1	0	0	1	0	0	1	1	0.069997420242497	1	1	1	1	1	1	1
BDKRB2	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
BGLAP	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
BHMT	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
BHMT2	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
BIRC2	5	0	0	0	0	0.324208392311774	1	1	1	1	1	1	1	1	1
BIRC3	3	0	0	0	0	0.508705284703027	1	1	1	1	1	1	1	1	1
BIRC5	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
BIRC7	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
BLK	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
BLVRA	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
BLVRB	2	1	0	0	0	0.894302246872106	0.142741396965398	1	1	1	1	1	1	1	1
BMP1	1	0	1	0	0	0.95928832113685	1	0.135089604242721	1	1	1	1	1	1	1
BMP2	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
BMPR1A	2	0	1	0	0	0.894302246872106	1	0.195620690318418	1	1	1	1	1	1	1
BMPR1B	0	0	1	0	0	1	1	0.069997420242497	1	1	1	1	1	1	1
BMX	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
BRAF	15	1	1	0	0	0.303616079191886	0.581976166721678	0.708517485029293	1	1	1	1	1	1	1
BRD1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
BRD2	3	0	1	0	1	0.940697363015372	1	0.304256964937203	1	0.123643277991489	1	1	1	1	1
BRD3	4	0	1	0	1	0.89892103559856	1	0.352936252417099	1	0.146467421602334	1	1	1	1	1
BRD4	6	0	4	0	3	0.998668517217298	1	0.0103216463724521	1	0.00419044509887238	1	0.432034889693743	0.608092423428464	1	1
BRD9	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
BRDT	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
BRPF1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
BRPF3	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
BRS3	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
BST1	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
BTK	8	2	0	0	0	0.672524349620765	0.0863501004628495	1	1	1	1	1	1	1	1
BTRC	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
C1QBP	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
C1R	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
C5AR1	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
C8G	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
CA1	20	1	1	3	1	0.73977322846959	0.7364335912959	0.848120159606954	0.176213725978612	0.496252292623054	1	1	1	1	1
CA10	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
CA11	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
CA12	24	1	1	2	1	0.454232270227657	0.77397576921216	0.877769461772759	0.488122311018194	0.534524979506991	1	1	1	1	1
CA13	1	0	0	1	0	0.95928832113685	1	1	0.108823088600437	1	1	1	1	1	1
CA14	18	0	1	1	0	0.201023870329273	1	0.765460221548718	0.683744990790464	1	1	1	1	1	1
CA2	35	1	1	2	1	0.155382225553179	0.871290544590358	0.944848990526717	0.662895512699599	0.6515463777418	1	1	1	1	1
CA3	3	0	0	1	0	0.816499971234999	1	1	0.205787517164507	1	1	1	1	1	1
CA4	20	0	1	2	0	0.289740381165677	1	0.811267921380921	0.37158191763399	1	1	1	1	1	1
CA5A	3	0	0	1	0	0.816499971234999	1	1	0.205787517164507	1	1	1	1	1	1
CA5B	2	0	0	1	0	0.894302246872106	1	1	0.158703251038844	1	1	1	1	1	1
CA6	11	0	1	1	0	0.495331492913682	1	0.610494964280798	0.52693181653714	1	1	1	1	1	1
CA8	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
CA9	16	0	1	1	1	0.447650894814487	1	0.747838347849314	0.665023338431147	0.394212634939446	1	1	1	1	1
CACNA1A	4	0	0	0	0	0.406107055859036	1	1	1	1	1	1	1	1	1
CACNA1B	9	0	1	0	0	0.370691710868555	1	0.51586336197673	1	1	1	1	1	1	1
CACNA1C	19	0	2	1	0	0.324985533351629	1	0.461757409741428	0.718103450596913	1	1	1	1	1	1
CACNA1D	13	0	2	0	0	0.39166587121671	1	0.283143122388886	1	1	1	1	1	1	1
CACNA1E	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
CACNA1F	9	0	1	0	0	0.370691710868555	1	0.51586336197673	1	1	1	1	1	1	1
CACNA1G	14	0	1	1	0	0.345622500246793	1	0.686611219016353	0.601930221985002	1	1	1	1	1	1
CACNA1H	10	0	2	1	0	0.741895986246045	1	0.229803887530027	0.52693181653714	1	1	1	1	1	1
CACNA1I	11	0	1	1	0	0.495331492913682	1	0.610494964280798	0.52693181653714	1	1	1	1	1	1
CACNA1S	10	0	1	0	0	0.317148984848818	1	0.549722561508557	1	1	1	1	1	1	1
CACNA2D1	9	0	0	0	0	0.131720509620428	1	1	1	1	1	1	1	1	1
CACNA2D2	2	0	1	0	0	0.894302246872106	1	0.195620690318418	1	1	1	1	1	1	1
CACNA2D3	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
CACNB1	4	0	1	0	0	0.733701710048084	1	0.304256964937203	1	1	1	1	1	1	1
CACNB2	5	0	1	0	0	0.651092047272845	1	0.352936252417099	1	1	1	1	1	1	1
CACNB3	4	0	1	0	0	0.733701710048084	1	0.304256964937203	1	1	1	1	1	1	1
CACNB4	4	0	1	0	0	0.733701710048084	1	0.304256964937203	1	1	1	1	1	1	1
CACNG1	4	0	0	0	0	0.406107055859036	1	1	1	1	1	1	1	1	1
CACNG2	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
CACNG3	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
CACNG4	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
CACNG5	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
CACNG6	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
CACNG7	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
CAD	0	1	0	0	0	1	0.0500472955542181	1	1	1	1	1	1	1	1
CALCA	4	0	0	0	0	0.406107055859036	1	1	1	1	1	1	1	1	1
CALCR	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
CALCRL	2	0	0	0	0	0.637237605426053	1	1	1	1	1	1	1	1	1
CALM1	7	0	4	1	0	0.979717219532188	1	0.0075620971921047	0.498909306306538	1	1	1	0.475761733444699	1	1
CALR	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
CALY	4	1	1	0	0	0.89892103559856	0.265077735944928	0.352936252417099	1	1	1	1	1	1	1
CAMK1D	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
CAMK2A	3	0	0	0	0	0.508705284703027	1	1	1	1	1	1	1	1	1
CAMK2G	1	0	0	0	0	0.798262963281452	1	1	1	1	1	1	1	1	1
