Gene	No-Effect	Very Weak (35%)	Strong & Weak	Low (25%)	Cyto	padj_noeffect	padj_Cyto	padj_StrWeak	padj_vWeak	padj_low
ADH1A	0.636276980333582	1	1	1	1	1	1	1	1	1
ADH1B	0.636276980333582	1	1	1	1	1	1	1	1	1
ADH1C	0.815570799000816	0.185633806436352	1	1	1	1	1	1	1	1
ADH4	0.797661019864133	1	1	1	1	1	1	1	1	1
ADH5	0.636276980333582	1	1	1	1	1	1	1	1	1
ADH7	0.797661019864133	1	1	1	1	1	1	1	1	1
ADIPOR1	0.797661019864133	1	1	1	1	1	1	1	1	1
ADIPOR2	0.636276980333582	1	1	1	1	1	1	1	1	1
ADK	0.507555483065512	1	1	1	1	1	1	1	1	1
ADORA1	0.150886602877727	0.905306058234947	0.844575002551223	0.479214862198776	1	1	1	1	1	1
ADORA2A	0.422876040719865	0.871290544590358	0.543076846968814	0.389498644204779	1	1	1	1	1	1
ADORA2B	0.65294648482214	0.815837022958672	0.414882534541155	0.280893306554096	1	1	1	1	1	1
ADORA3	0.288454708049109	0.825027800924548	0.702321448679842	0.574224846574707	1	1	1	1	1	1
ADRA1A	0.936187450186996	0.564134988523291	0.0502142162835176	0.108895243149057	1	1	1	1	1	1
ADRA1B	0.95235778187298	0.582653293247201	0.00301700957202534	0.659260475629352	1	1	1	0.381081429974511	1	1
ADRA1D	0.951982515707252	0.307592128746707	0.0162405512163387	0.612777532840916	1	1	1	0.816780892880253	1	1
ADRA2A	0.479717148720215	0.753959086086262	0.808415467486828	0.070879161469026	1	1	1	1	1	1
ADRA2B	0.286474685773288	0.815378696186799	0.813173968211642	0.255650483337458	1	1	1	1	1	1
ADRA2C	0.431093552669832	0.808117684276765	0.804265298954528	0.118906267708547	1	1	1	1	1	1
ADRB1	0.00819253989620338	1	0.821735389111753	0.867862035502341	1	1	1	1	1	1
ADRB2	0.00205930686908469	0.973593554628161	0.964289725813419	0.983051888502795	0.845687930070728	1	1	1	1	1
ADRB3	0.076477551871825	1	0.910423757824908	0.850191888995451	0.581057236441256	1	1	1	1	1
AFG3L2	0.797661019864133	1	1	1	1	1	1	1	1	1
AGER	0.507555483065512	1	1	1	1	1	1	1	1	1
AGTR1	0.91425068442714	0.559984855958957	0.0989411741933696	0.601930221985002	1	1	1	1	1	1
AGTR2	0.99832041863001	0.185633806436352	0.253845298741142	0.205787517164507	1	1	1	1	1	1
AGXT	0.893719974869722	1	0.197181436958372	1	1	1	1	1	1	1
AGXT2	0.893719974869722	1	0.197181436958372	1	1	1	1	1	1	1
AHCY	0.636276980333582	1	1	1	1	1	1	1	1	1
AHR	0.130829649566925	1	1	1	1	1	1	1	1	1
AIFM1	0.797661019864133	1	1	1	1	1	1	1	1	1
AKR1A1	0.893719974869722	0.142741396965398	1	1	1	1	1	1	1	1
AKR1B1	0.263574683867942	0.226838968846381	1	1	1	1	1	1	1	1
AKR1B10	0.959045059394684	0.0975857713914875	1	1	1	1	1	1	1	1
AKR1C1	0.815570799000816	1	1	0.205787517164507	1	1	1	1	1	1
AKR1C2	0.636276980333582	1	1	1	1	1	1	1	1	1
AKR1C3	0.57031357165159	1	1	0.331790753920129	1	1	1	1	1	1
AKR1C4	0.797661019864133	1	1	1	1	1	1	1	1	1
AKR1D1	0.636276980333582	1	1	1	1	1	1	1	1	1
AKT1	0.885010770679729	0.17564340220707	0.880040176011208	0.488122311018194	0.174288146226027	1	1	1	1	1
AKT2	0.833549001616749	1	0.552916593846052	0.4692241628363	0.251949407314278	1	1	1	1	1
AKT3	0.874878915859432	1	0.518986525769476	0.437777578381115	0.231954759327002	1	1	1	1	1
ALAD	0.797661019864133	1	1	1	1	1	1	1	1	1
ALAS1	0.636276980333582	1	1	1	1	1	1	1	1	1
ALAS2	0.797661019864133	1	1	1	1	1	1	1	1	1
ALB	0.940227904427053	1	0.306505232527227	0.250232830181434	1	1	1	1	1	1
ALDH18A1	1	0.0500472955542181	1	1	1	1	1	1	1	1
ALDH1A1	0.893719974869722	0.142741396965398	1	1	1	1	1	1	1	1
ALDH1A2	0.815570799000816	0.185633806436352	1	1	1	1	1	1	1	1
ALDH1A3	0.636276980333582	1	1	1	1	1	1	1	1	1
ALDH1B1	0.797661019864133	1	1	1	1	1	1	1	1	1
ALDH2	0.205554714870891	1	1	1	1	1	1	1	1	1
ALDH3A1	0.797661019864133	1	1	1	1	1	1	1	1	1
ALDH3A2	0.797661019864133	1	1	1	1	1	1	1	1	1
ALDH3B1	0.797661019864133	1	1	1	1	1	1	1	1	1
ALDH3B2	0.797661019864133	1	1	1	1	1	1	1	1	1
ALDH4A1	0.797661019864133	1	1	1	1	1	1	1	1	1
ALDH5A1	0.404883711087078	1	1	1	1	1	1	1	1	1
ALDH6A1	0.797661019864133	1	1	1	1	1	1	1	1	1
ALDH7A1	0.797661019864133	1	1	1	1	1	1	1	1	1
ALDH9A1	0.797661019864133	1	1	1	1	1	1	1	1	1
ALK	0.690067373992195	0.512464020390946	0.259663844721009	1	1	1	1	1	1	1
ALOX12	1	1	1	0.0559807378106458	1	1	1	1	1	1
ALOX15B	0.797661019864133	1	1	1	1	1	1	1	1	1
ALOX5	0.750139055539901	0.446746658967078	1	0.0244311348692172	1	1	1	1	1	1
ALOX5AP	0.404883711087078	1	1	1	1	1	1	1	1	1
ALPL	1	0.0500472955542181	1	1	1	1	1	1	1	1
AMD1	0.636276980333582	1	1	1	1	1	1	1	1	1
AMHR2	0.797661019864133	1	1	1	1	1	1	1	1	1
AMT	0.797661019864133	1	1	1	1	1	1	1	1	1
AMY1A	0.797661019864133	1	1	1	1	1	1	1	1	1
AMY2A	0.959045059394684	1	1	0.108823088600437	1	1	1	1	1	1
AMY2B	0.797661019864133	1	1	1	1	1	1	1	1	1
ANG	0.507555483065512	1	1	1	1	1	1	1	1	1
ANO1	0.989020353084005	1	0.443195007119651	0.00796555695112218	1	1	1	1	1	1
ANPEP	0.636276980333582	1	1	1	1	1	1	1	1	1
ANXA1	0.959045059394684	0.0975857713914875	1	1	1	1	1	1	1	1
AOC1	0.636276980333582	1	1	1	1	1	1	1	1	1
AOC3	0.797661019864133	1	1	1	1	1	1	1	1	1
AOX1	0.636276980333582	1	1	1	1	1	1	1	1	1
APAF1	0.797661019864133	1	1	1	1	1	1	1	1	1
APC	0.797661019864133	1	1	1	1	1	1	1	1	1
APEX1	0.636276980333582	1	1	1	1	1	1	1	1	1
APH1A	0.797661019864133	1	1	1	1	1	1	1	1	1
APH1B	0.636276980333582	1	1	1	1	1	1	1	1	1
APP	0.104378183212657	1	1	1	1	1	1	1	1	1
APRT	0.636276980333582	1	1	1	1	1	1	1	1	1
AQP1	0.797661019864133	1	1	1	1	1	1	1	1	1
AQP9	0.797661019864133	1	1	1	1	1	1	1	1	1
AR	0.171343249620978	0.587147884151154	1	0.374101299913289	1	1	1	1	1	1
ARAF	0.797661019864133	1	1	1	1	1	1	1	1	1
ARF1	1	1	1	1	0.0260555507782269	1	1	1	1	1
ARG1	0.797661019864133	1	1	1	1	1	1	1	1	1
ARG2	0.636276980333582	1	1	1	1	1	1	1	1	1
ARPC1B	0.797661019864133	1	1	1	1	1	1	1	1	1
ARPC2	0.797661019864133	1	1	1	1	1	1	1	1	1
ARPC3	0.797661019864133	1	1	1	1	1	1	1	1	1
ARPC4	0.797661019864133	1	1	1	1	1	1	1	1	1
ARPC5	0.797661019864133	1	1	1	1	1	1	1	1	1
ASIC1	0.25766312298242	1	1	1	1	1	1	1	1	1
ASIC2	0.636276980333582	1	1	1	1	1	1	1	1	1
ASIC3	0.649613125165999	1	1	0.29218731080305	1	1	1	1	1	1
ASL	0.797661019864133	1	1	1	1	1	1	1	1	1
ASNS	0.971869150738627	0.0140641685525357	1	1	1	1	1	1	1	1
ASPA	1	0.0500472955542181	1	1	1	1	1	1	1	1
ASPH	0.959045059394684	0.0975857713914875	1	1	1	1	1	1	1	1
ASRGL1	0.959045059394684	0.0975857713914875	1	1	1	1	1	1	1	1
ASS1	0.815570799000816	0.185633806436352	1	1	1	1	1	1	1	1
ATF1	0.797661019864133	1	1	1	1	1	1	1	1	1
ATF2	0.797661019864133	1	1	1	1	1	1	1	1	1
ATF3	0.797661019864133	1	1	1	1	1	1	1	1	1
ATF4	0.797661019864133	1	1	1	1	1	1	1	1	1
ATF5	0.797661019864133	1	1	1	1	1	1	1	1	1
ATF6	0.797661019864133	1	1	1	1	1	1	1	1	1
ATF7	0.797661019864133	1	1	1	1	1	1	1	1	1
ATIC	1	0.0500472955542181	1	1	1	1	1	1	1	1
ATM	0.992963314946343	1	0.0432055635968031	0.250232830181434	1	1	1	1	1	1
ATOX1	0.797661019864133	1	1	1	1	1	1	1	1	1
ATP1A1	0.992423972412489	1	0.000540195855547785	1	0.344357991214783	1	1	0.278470963534883	1	1
ATP1A2	1	1	0.00498991203167401	1	1	1	1	0.381081429974511	1	1
ATP1A3	1	1	0.00498991203167401	1	1	1	1	0.381081429974511	1	1
ATP1A4	1	1	0.00498991203167401	1	1	1	1	0.381081429974511	1	1
ATP1B1	1	1	0.00498991203167401	1	1	1	1	0.381081429974511	1	1
ATP1B2	1	1	0.00498991203167401	1	1	1	1	0.381081429974511	1	1
ATP1B3	1	1	0.00498991203167401	1	1	1	1	0.381081429974511	1	1
ATP2A1	0.636276980333582	1	1	1	1	1	1	1	1	1
ATP2A2	0.797661019864133	1	1	1	1	1	1	1	1	1
ATP2C1	0.636276980333582	1	1	1	1	1	1	1	1	1
ATP4A	0.833549001616749	0.431369742203747	1	0.123311733829269	1	1	1	1	1	1
ATP4B	0.636276980333582	1	1	1	1	1	1	1	1	1
ATP6V1A	0.507555483065512	1	1	1	1	1	1	1	1	1
ATR	0.940227904427053	1	0.306505232527227	1	0.123643277991489	1	1	1	1	1
AURKA	0.0937982780705953	1	1	1	0.137629286324867	1	1	1	1	1
AURKB	0.0937982780705953	1	1	1	0.137629286324867	1	1	1	1	1
AURKC	0.104378183212657	1	1	1	1	1	1	1	1	1
AVPR1A	0.343427964970941	1	1	0.224754309331111	1	1	1	1	1	1
AVPR1B	0.84786200895202	1	1	0.0545666521005762	1	1	1	1	1	1
AVPR2	0.550104783849284	1	1	0.142687584663683	1	1	1	1	1	1
AXIN1	0.797661019864133	1	1	1	1	1	1	1	1	1
AXL	0.940227904427053	1	0.306505232527227	1	0.123643277991489	1	1	1	1	1
AZIN2	0.636276980333582	1	1	1	1	1	1	1	1	1
B2M	0.797661019864133	1	1	1	1	1	1	1	1	1
B4GALT1	1	1	1	0.0559807378106458	1	1	1	1	1	1
B4GALT2	1	1	1	0.0559807378106458	1	1	1	1	1	1
B4GALT3	1	1	1	0.0559807378106458	1	1	1	1	1	1
B4GALT4	1	1	1	0.0559807378106458	1	1	1	1	1	1
BAAT	0.797661019864133	1	1	1	1	1	1	1	1	1
BACE1	0.205554714870891	1	1	1	1	1	1	1	1	1
BAX	0.959045059394684	1	0.136208815287958	1	1	1	1	1	1	1
BAZ2A	0.797661019864133	1	1	1	1	1	1	1	1	1
BAZ2B	0.797661019864133	1	1	1	1	1	1	1	1	1
BBOX1	0.636276980333582	1	1	1	1	1	1	1	1	1
BCAT1	0.893719974869722	0.142741396965398	1	1	1	1	1	1	1	1
BCAT2	0.893719974869722	0.142741396965398	1	1	1	1	1	1	1	1
BCHE	0.136050752416768	0.559984855958957	1	1	1	1	1	1	1	1
BCL2	0.896662476051084	1	0.0590811534936215	1	0.290385794133882	1	1	1	1	1
BCL2L1	0.971869150738627	1	0.253845298741142	1	0.100206730174315	1	1	1	1	1
BCL2L2	0.959045059394684	1	0.136208815287958	1	1	1	1	1	1	1
BCR	0.73195565172131	1	0.128930575286864	1	1	1	1	1	1	1
BDH1	0.797661019864133	1	1	1	1	1	1	1	1	1
BDKRB1	1	1	0.070599363659816	1	1	1	1	1	1	1
BDKRB2	0.636276980333582	1	1	1	1	1	1	1	1	1
BGLAP	0.636276980333582	1	1	1	1	1	1	1	1	1
BHMT	0.636276980333582	1	1	1	1	1	1	1	1	1
BHMT2	0.797661019864133	1	1	1	1	1	1	1	1	1
BIRC2	0.322988123346349	1	1	1	1	1	1	1	1	1
BIRC3	0.507555483065512	1	1	1	1	1	1	1	1	1
BIRC5	0.636276980333582	1	1	1	1	1	1	1	1	1
BIRC7	0.797661019864133	1	1	1	1	1	1	1	1	1
BLK	0.636276980333582	1	1	1	1	1	1	1	1	1
BLVRA	0.636276980333582	1	1	1	1	1	1	1	1	1
BLVRB	0.893719974869722	0.142741396965398	1	1	1	1	1	1	1	1
BMP1	0.959045059394684	1	0.136208815287958	1	1	1	1	1	1	1
BMP2	0.797661019864133	1	1	1	1	1	1	1	1	1
BMPR1A	0.893719974869722	1	0.197181436958372	1	1	1	1	1	1	1
BMPR1B	1	1	0.070599363659816	1	1	1	1	1	1	1
BMX	0.797661019864133	1	1	1	1	1	1	1	1	1
BRAF	0.301489507644614	0.581976166721678	0.711705836881873	1	1	1	1	1	1	1
BRD1	0.636276980333582	1	1	1	1	1	1	1	1	1
BRD2	0.940227904427053	1	0.306505232527227	1	0.123643277991489	1	1	1	1	1
BRD3	0.898171935817978	1	0.355444479913778	1	0.146467421602334	1	1	1	1	1
BRD4	0.998640824343865	1	0.0106327860441093	1	0.00419044509887238	1	0.432034889693743	0.592562292512254	1	1
BRD9	0.797661019864133	1	1	1	1	1	1	1	1	1
BRDT	0.636276980333582	1	1	1	1	1	1	1	1	1
BRPF1	0.636276980333582	1	1	1	1	1	1	1	1	1
BRPF3	0.797661019864133	1	1	1	1	1	1	1	1	1
BRS3	0.797661019864133	1	1	1	1	1	1	1	1	1
BST1	0.797661019864133	1	1	1	1	1	1	1	1	1
BTK	0.670702824233544	0.0863501004628495	1	1	1	1	1	1	1	1
BTRC	0.797661019864133	1	1	1	1	1	1	1	1	1
C1QBP	0.797661019864133	1	1	1	1	1	1	1	1	1
C1R	0.797661019864133	1	1	1	1	1	1	1	1	1
C5AR1	0.636276980333582	1	1	1	1	1	1	1	1	1
C8G	0.797661019864133	1	1	1	1	1	1	1	1	1
CA1	0.73718713127898	0.7364335912959	0.850652591970669	0.176213725978612	0.496252292623054	1	1	1	1	1
CA10	0.797661019864133	1	1	1	1	1	1	1	1	1
CA11	0.797661019864133	1	1	1	1	1	1	1	1	1
CA12	0.451020816037534	0.77397576921216	0.880040176011208	0.488122311018194	0.534524979506991	1	1	1	1	1
CA13	0.959045059394684	1	1	0.108823088600437	1	1	1	1	1	1
CA14	0.199211769662749	1	0.768475107630416	0.683744990790464	1	1	1	1	1	1
CA2	0.153211291589062	0.871290544590358	0.946256469471792	0.662895512699599	0.6515463777418	1	1	1	1	1
CA3	0.815570799000816	1	1	0.205787517164507	1	1	1	1	1	1
CA4	0.287327165188206	1	0.814054798460921	0.37158191763399	1	1	1	1	1	1
CA5A	0.815570799000816	1	1	0.205787517164507	1	1	1	1	1	1
CA5B	0.893719974869722	1	1	0.158703251038844	1	1	1	1	1	1
CA6	0.493125888109222	1	0.613757852576383	0.52693181653714	1	1	1	1	1	1
CA8	0.797661019864133	1	1	1	1	1	1	1	1	1
CA9	0.445046287392828	1	0.750918819033812	0.665023338431147	0.394212634939446	1	1	1	1	1
CACNA1A	0.404883711087078	1	1	1	1	1	1	1	1	1
CACNA1B	0.36889284675534	1	0.518986525769476	1	1	1	1	1	1	1
CACNA1C	0.322487515752624	1	0.466304007487325	0.718103450596913	1	1	1	1	1	1
CACNA1D	0.389431481885511	1	0.286586022076829	1	1	1	1	1	1	1
CACNA1E	0.797661019864133	1	1	1	1	1	1	1	1	1
CACNA1F	0.36889284675534	1	0.518986525769476	1	1	1	1	1	1	1
CACNA1G	0.343427964970941	1	0.689838735263249	0.601930221985002	1	1	1	1	1	1
CACNA1H	0.740034436316154	1	0.232763172405194	0.52693181653714	1	1	1	1	1	1
CACNA1I	0.493125888109222	1	0.613757852576383	0.52693181653714	1	1	1	1	1	1
CACNA1S	0.315394477653229	1	0.552916593846052	1	1	1	1	1	1	1
CACNA2D1	0.130829649566925	1	1	1	1	1	1	1	1	1
CACNA2D2	0.893719974869722	1	0.197181436958372	1	1	1	1	1	1	1
CACNA2D3	0.636276980333582	1	1	1	1	1	1	1	1	1
CACNB1	0.732466062049992	1	0.306505232527227	1	1	1	1	1	1	1
CACNB2	0.649613125165999	1	0.355444479913778	1	1	1	1	1	1	1
CACNB3	0.732466062049992	1	0.306505232527227	1	1	1	1	1	1	1
CACNB4	0.732466062049992	1	0.306505232527227	1	1	1	1	1	1	1
CACNG1	0.404883711087078	1	1	1	1	1	1	1	1	1
CACNG2	0.797661019864133	1	1	1	1	1	1	1	1	1
CACNG3	0.797661019864133	1	1	1	1	1	1	1	1	1
CACNG4	0.797661019864133	1	1	1	1	1	1	1	1	1
CACNG5	0.797661019864133	1	1	1	1	1	1	1	1	1
CACNG6	0.797661019864133	1	1	1	1	1	1	1	1	1
CACNG7	0.797661019864133	1	1	1	1	1	1	1	1	1
CAD	1	0.0500472955542181	1	1	1	1	1	1	1	1
CALCA	0.404883711087078	1	1	1	1	1	1	1	1	1
CALCR	0.797661019864133	1	1	1	1	1	1	1	1	1
CALCRL	0.636276980333582	1	1	1	1	1	1	1	1	1
CALM1	0.979426733163812	1	0.00779384628558124	0.498909306306538	1	1	1	0.475188506099003	1	1
CALR	0.797661019864133	1	1	1	1	1	1	1	1	1
CALY	0.898171935817978	0.265077735944928	0.355444479913778	1	1	1	1	1	1	1
CAMK1D	0.797661019864133	1	1	1	1	1	1	1	1	1
CAMK2A	0.507555483065512	1	1	1	1	1	1	1	1	1
CAMK2G	0.797661019864133	1	1	1	1	1	1	1	1	1
CAMK4	0.797661019864133	1	1	1	1	1	1	1	1	1
CAMLG	1	0.00250881971694833	1	1	1	1	1	1	0.739026608049636	1
CANT1	0.797661019864133	1	1	1	1	1	1	1	1	1
CARM1	0.797661019864133	1	1	1	1	1	1	1	1	1
CARS2	0.797661019864133	1	1	1	1	1	1	1	1	1
CASP1	0.636276980333582	1	1	1	1	1	1	1	1	1
CASP3	0.496521688799943	1	1	0.369175097268187	1	1	1	1	1	1
CASP7	0.797661019864133	1	1	1	1	1	1	1	1	1
CASP8	0.797661019864133	1	1	1	1	1	1	1	1	1
CASR	0.84786200895202	0.301839640343729	1	0.331790753920129	1	1	1	1	1	1
CAT	0.797661019864133	1	1	1	1	1	1	1	1	1
CATSPER1	0.992963314946343	1	0.00316628362995309	1	1	1	1	0.381081429974511	1	1
CATSPER2	0.992963314946343	1	0.00316628362995309	1	1	1	1	0.381081429974511	1	1
CATSPER4	0.992963314946343	1	0.00316628362995309	1	1	1	1	0.381081429974511	1	1
CBFB	0.797661019864133	1	1	1	1	1	1	1	1	1
CBR1	0.797661019864133	1	1	1	1	1	1	1	1	1
CBS	0.636276980333582	1	1	1	1	1	1	1	1	1
CCKAR	0.205554714870891	1	1	1	1	1	1	1	1	1
CCKBR	0.130829649566925	1	1	1	1	1	1	1	1	1
CCL2	0.404883711087078	1	1	1	1	1	1	1	1	1
CCL7	0.797661019864133	1	1	1	1	1	1	1	1	1
CCL8	0.636276980333582	1	1	1	1	1	1	1	1	1
CCNA2	0.815570799000816	1	1	0.205787517164507	1	1	1	1	1	1
CCNB1	0.636276980333582	1	1	1	1	1	1	1	1	1
CCND1	0.991707601657165	0.142741396965398	0.197181436958372	1	1	1	1	1	1	1
CCNE1	0.797661019864133	1	1	1	1	1	1	1	1	1
CCR1	0.507555483065512	1	1	1	1	1	1	1	1	1
CCR2	0.42925484225098	1	1	0.4044648636752	1	1	1	1	1	1
CCR3	0.797661019864133	1	1	1	1	1	1	1	1	1
CCR4	0.959045059394684	1	0.136208815287958	1	1	1	1	1	1	1
CCR5	0.322988123346349	1	1	1	1	1	1	1	1	1
CCR9	0.797661019864133	1	1	1	1	1	1	1	1	1
CD274	0.797661019864133	1	1	1	1	1	1	1	1	1
CD38	0.797661019864133	1	1	1	1	1	1	1	1	1
CD44	0.797661019864133	1	1	1	1	1	1	1	1	1
CD55	0.797661019864133	1	1	1	1	1	1	1	1	1
CDA	0.636276980333582	1	1	1	1	1	1	1	1	1
CDC25A	0.636276980333582	1	1	1	1	1	1	1	1	1
CDC25B	0.507555483065512	1	1	1	1	1	1	1	1	1
CDC25C	0.797661019864133	1	1	1	1	1	1	1	1	1
CDC42	0.797661019864133	1	1	1	1	1	1	1	1	1
CDC42BPA	0.797661019864133	1	1	1	1	1	1	1	1	1
CDC7	0.797661019864133	1	1	1	1	1	1	1	1	1
CDH2	0.797661019864133	1	1	1	1	1	1	1	1	1
CDH5	1	1	0.070599363659816	1	1	1	1	1	1	1
CDIPT	1	0.0500472955542181	1	1	1	1	1	1	1	1
CDK1	0.967070938635357	1	1	0.788524905009739	3.27070845120013e-07	1	6.74420082637466e-05	1	1	1
CDK15	0.797661019864133	1	1	1	1	1	1	1	1	1
CDK2	0.816066033256049	1	1	0.841334025211259	1.63249699595131e-05	1	0.00306018982331963	1	1	1
CDK3	0.797661019864133	1	1	1	1	1	1	1	1	1
CDK4	0.707410753374193	1	1	1	0.00106847612613987	1	0.137699860756276	1	1	1
CDK5	0.639346941345471	1	1	0.578356727444134	0.0570432294210776	1	1	1	1	1
CDK5R1	0.797661019864133	1	1	1	1	1	1	1	1	1
CDK6	0.670702824233544	0.401439127205337	1	1	0.231954759327002	1	1	1	1	1
CDK7	0.924191646227211	1	1	1	0.000196186117212648	1	0.0269690515794987	1	1	1
CDK8	1	1	1	1	0.0260555507782269	1	1	1	1	1
CDK9	0.987612023196272	1	0.552916593846052	1	0.000133591809115997	1	0.0196761650283704	1	1	1
CDKL2	1	1	0.070599363659816	1	1	1	1	1	1	1
CDO1	0.636276980333582	1	1	1	1	1	1	1	1	1
CEL	0.797661019864133	1	1	1	1	1	1	1	1	1
CELA1	0.893719974869722	1	1	0.158703251038844	1	1	1	1	1	1
CENPE	0.797661019864133	1	1	1	1	1	1	1	1	1
CERK	0.797661019864133	1	1	1	1	1	1	1	1	1
CERS1	0.797661019864133	1	1	1	1	1	1	1	1	1
CES1	0.496521688799943	0.336759658332725	1	1	1	1	1	1	1	1
CES3	0.797661019864133	1	1	1	1	1	1	1	1	1
CETP	0.322988123346349	1	1	1	1	1	1	1	1	1
CFD	0.797661019864133	1	1	1	1	1	1	1	1	1
CFTR	0.740034436316154	0.135709851053822	1	0.52693181653714	1	1	1	1	1	1
CHAT	0.797661019864133	1	1	1	1	1	1	1	1	1
CHD1	0.797661019864133	1	1	1	1	1	1	1	1	1
CHEK1	0.959987647474608	0.20812388375542	1	0.624183843752951	0.00921222001785518	1	0.853718199592605	1	1	1
CHEK2	0.991707601657165	1	1	1	0.00200750155256589	1	0.229970455632826	1	1	1
CHRFAM7A	0.797661019864133	1	1	1	1	1	1	1	1	1
CHRM1	0.855507840552197	0.171814161886222	0.463771128886987	0.248307554048819	0.908655812348002	1	1	1	1	1
CHRM2	0.740907549828494	0.282703671269282	0.746150456425538	0.206739117204438	0.845687930070728	1	1	1	1	1
CHRM3	0.678478839599146	0.31213768276437	0.604841058595894	0.399698414136654	0.857368018186732	1	1	1	1	1
CHRM4	0.769064288445373	0.5356486607555	0.5638898975508	0.20380790888193	0.771204158367082	1	1	1	1	1
CHRM5	0.869927639690859	0.296079425094016	0.127590702917488	0.635116727256317	1	1	1	1	1	1
CHRNA1	0.130829649566925	1	1	1	1	1	1	1	1	1
CHRNA2	0.445046287392828	0.62271132649999	0.750918819033812	0.665023338431147	1	1	1	1	1	1
CHRNA3	0.0832765537685997	1	1	1	1	1	1	1	1	1
CHRNA4	0.0794998229358022	0.62271132649999	1	1	1	1	1	1	1	1
CHRNA5	0.636276980333582	1	1	1	1	1	1	1	1	1
CHRNA6	0.322988123346349	1	1	1	1	1	1	1	1	1
