Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
chemical synaptic transmission (GO:0007268)	10/306	4.454029874330119E-9	2.2948858685834232E-7	0	0	16.193968358602504	311.40121109920483	HTR6;HRH1;HTR7;KCND2;KCNA1;KCNQ2;HTR2C;HTR2A;DRD2;CALM1
anterograde trans-synaptic signaling (GO:0098916)	9/244	1.0059414016197759E-8	4.947402711602715E-7	0	0	17.97629179331307	331.02904374823186	HTR6;HRH1;HTR7;KCND2;KCNA1;KCNQ2;HTR2C;HTR2A;CALM1
cardiac muscle cell action potential (GO:0086001)	5/30	1.1969452107778436E-8	5.504623508967965E-7	0	0	86.62608695652175	1580.138490416998	KCNH2;KCND3;ATP1A2;ATP1A1;ATP1B1
cardiac muscle cell membrane repolarization (GO:0099622)	4/11	1.2209885786989941E-8	5.504623508967965E-7	0	0	242.45592705167172	4417.794272390018	KCNH2;KCND3;ATP1A1;ATP1B1
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	6/65	1.4941753642638964E-8	6.466790976534143E-7	0	0	44.94915254237288	809.9435570864033	HTR6;HRH1;HTR7;HTR2C;HTR2A;DRD1
relaxation of cardiac muscle (GO:0055119)	4/13	2.635572666628422E-8	1.0968037020353663E-6	0	0	188.55791962174942	3290.6336669539164	PIK3CA;ATP1A2;ATP1A1;ATP1B1
relaxation of muscle (GO:0090075)	4/14	3.682886004672725E-8	1.3740974679503063E-6	0	0	169.6936170212766	2904.6429374209415	PIK3CA;ATP1A2;ATP1A1;ATP1B1
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	4/14	3.682886004672725E-8	1.3740974679503063E-6	0	0	169.6936170212766	2904.6429374209415	FXYD2;ATP1B3;ATP1B2;ATP1B1
membrane repolarization during action potential (GO:0086011)	4/14	3.682886004672725E-8	1.3740974679503063E-6	0	0	169.6936170212766	2904.6429374209415	KCNH2;KCND3;ATP1A1;ATP1B1
membrane repolarization during cardiac muscle cell action potential (GO:0086013)	4/15	5.0127021273734056E-8	1.807914567272675E-6	0	0	154.25918762088975	2592.8972750521493	KCNH2;KCND3;ATP1A1;ATP1B1
adenylate cyclase-activating adrenergic receptor signaling pathway (GO:0071880)	4/17	8.707346799227849E-8	3.0391449150853333E-6	0	0	130.5139116202946	2121.7011811977804	ADRA1D;DRD1;ADRA1B;DRD2
protein autophosphorylation (GO:0046777)	7/159	1.5172716361299976E-7	5.130274719664554E-6	0	0	20.720544258373206	325.3370345760992	FGR;SRC;ATM;MAP3K9;EPHB4;EGFR;MTOR
adrenergic receptor signaling pathway (GO:0071875)	4/20	1.7626104108758965E-7	5.7792256502052125E-6	0	0	106.02659574468085	1648.8513721889167	ADRA1D;DRD1;ADRA1B;DRD2
cellular response to steroid hormone stimulus (GO:0071383)	4/21	2.17325712875474E-7	6.718469180893225E-6	0	0	99.78473091364205	1530.8842327333798	SRC;ATP1A3;ATP1A2;ATP1A1
response to progesterone (GO:0032570)	4/21	2.17325712875474E-7	6.718469180893225E-6	0	0	99.78473091364205	1530.8842327333798	CATSPER1;CATSPER2;CATSPER4;SRC
cation transport (GO:0006812)	7/174	2.803028756190825E-7	8.424658650551313E-6	0	0	18.84512792596625	284.32389110132544	KCND3;CATSPER4;KCNA1;ATP1A4;ATP1A2;ATP1B1;KCNH1
positive regulation of potassium ion import across plasma membrane (GO:1903288)	3/7	5.427582263684106E-7	1.587201083596271E-5	0	0	311.640625	4495.915223852591	ATP1B3;ATP1B2;ATP1B1
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	9/404	7.359087175492282E-7	2.095403243127013E-5	0	0	10.607956600361664	149.8072577417517	FGR;HSP90AA1;SYK;PIK3CA;SRC;STAT3;EPHB4;EGFR;EPHA2
regulation of potassium ion import (GO:1903286)	3/8	8.668557394033958E-7	2.4049690000883957E-5	0	0	249.3	3479.827440851939	ATP1B3;ATP1B2;ATP1B1
Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	5/71	1.0109465415384606E-6	2.734610394861536E-5	0	0	32.74538866930171	452.03776181449615	FGR;HSP90AA1;SYK;PIK3CA;SRC
Fc-gamma receptor signaling pathway (GO:0038094)	5/72	1.0843103158169042E-6	2.861521370033879E-5	0	0	32.255029201817	443.0088411678343	FGR;HSP90AA1;SYK;PIK3CA;SRC
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	6/136	1.2394850114190495E-6	3.110761183861753E-5	0	0	20.32717948717949	276.46619909855957	FGR;HTR6;HTR7;SYK;SRC;DRD1
Fc receptor mediated stimulatory signaling pathway (GO:0002431)	5/74	1.2436139587746532E-6	3.110761183861753E-5	0	0	31.3169502205419	425.8318840809605	FGR;HSP90AA1;SYK;PIK3CA;SRC
ERBB2 signaling pathway (GO:0038128)	4/32	1.2790663287109446E-6	3.110761183861753E-5	0	0	60.55015197568389	821.6280319266025	HSP90AA1;PIK3CA;SRC;EGFR
regulation of inflammatory response to antigenic stimulus (GO:0002861)	6/137	1.2937546513288251E-6	3.110761183861753E-5	0	0	20.170992366412214	273.47754769767596	FGR;HTR6;HTR7;SYK;SRC;DRD1
cellular response to hormone stimulus (GO:0032870)	5/76	1.420821417591271E-6	3.342019073551642E-5	0	0	30.431720759338642	409.74106891065117	SRC;STAT3;ATP1A3;ATP1A2;ATP1A1
enzyme linked receptor protein signaling pathway (GO:0007167)	6/140	1.4683432004911412E-6	3.380313495598755E-5	0	0	19.71641791044776	264.8186197119019	FGR;SYK;SRC;EPHB4;EGFR;EPHA2
cardiac muscle contraction (GO:0060048)	4/34	1.6433685980893296E-6	3.704426714859697E-5	0	0	56.50780141843972	752.6139808117101	KCNH2;PIK3CA;ATP1A2;ATP1B1
cellular response to organic cyclic compound (GO:0071407)	6/150	2.194842311057381E-6	4.846570164416502E-5	0	0	18.337962962962962	238.9326611227857	HRH1;ATP1A3;ATP1A2;ATP1A1;DRD1;EGFR
proton transmembrane transport (GO:1902600)	4/37	2.327202356177428E-6	5.036065898767954E-5	0	0	51.362991618310765	666.2213371348334	ATP1A4;ATP1A3;ATP1A2;ATP1A1
tetrahydrobiopterin metabolic process (GO:0046146)	3/11	2.540400260486493E-6	5.3896334938164416E-5	0	0	155.7890625	2007.0599217509202	DHFR;HSP90AA1;CALM1
regulation of nitric-oxide synthase activity (GO:0050999)	4/39	2.8873788550852523E-6	6.0079690792350824E-5	0	0	48.423100303951365	617.644461702719	DHFR;HSP90AA1;CALM1;EGFR
sodium ion transport (GO:0006814)	5/90	3.290479478594114E-6	6.717544897809115E-5	0	0	25.40153452685422	320.6810951464188	CATSPER4;ATP1A4;ATP1B3;ATP1A2;ATP1B1
positive regulation of sodium ion transmembrane transport (GO:1902307)	3/12	3.3811180237045916E-6	6.774758706756237E-5	0	0	138.47222222222223	1744.376696463754	ATP1B3;ATP1B2;ATP1B1
heart contraction (GO:0060047)	4/41	3.5417004287852328E-6	6.967490661719313E-5	0	0	45.80103507763082	574.8443759953128	KCNH2;PIK3CA;ATP1A2;ATP1B1
positive regulation of ATPase activity (GO:0032781)	4/42	3.907165010164785E-6	7.549200966068388E-5	0	0	44.59350503919373	555.3094736809917	FXYD2;ATP1B3;ATP1B2;ATP1B1
positive regulation of potassium ion transmembrane transport (GO:1901381)	4/44	4.720921767497217E-6	8.961469039354366E-5	0	0	42.35957446808511	519.4769163059703	KCNH2;ATP1B3;ATP1B2;ATP1B1
positive regulation of cell migration (GO:0030335)	7/269	5.143149030622681E-6	9.594633191609898E-5	0	0	11.954285218598196	145.5774326478654	FGR;SRC;STAT3;ATM;DRD1;EGFR;MTOR
negative regulation of immune response (GO:0050777)	6/178	5.900404370335748E-6	1.0820741574073354E-4	0	0	15.331007751937985	184.59284049942184	FGR;HTR6;HTR7;SYK;SRC;DRD1
positive regulation of intracellular signal transduction (GO:1902533)	9/546	8.635023876798224E-6	1.5571826391159467E-4	0	0	7.746209098164406	90.31835091190887	FGR;HTR6;HSP90AA1;PIK3CA;SRC;ADRA1D;ADRA1B;EGFR;BRD4
striated muscle contraction (GO:0006941)	4/54	1.0793427602625615E-5	1.914506338695232E-4	0	0	33.87063829787234	387.3640330182573	KCNH2;PIK3CA;ATP1A2;ATP1B1
peptidyl-tyrosine modification (GO:0018212)	4/56	1.2488364895537807E-5	2.179421099511598E-4	0	0	32.56464811783961	367.67810090780216	FGR;SYK;SRC;EGFR
regulation of protein kinase B signaling (GO:0051896)	6/207	1.3966520505934552E-5	2.3986944741938388E-4	0	0	13.099834162520729	146.44104817804796	HSP90AA1;PIK3CA;SRC;DRD2;EGFR;EPHA2
negative regulation of inflammatory response (GO:0050728)	6/212	1.5989802224975125E-5	2.703275938659857E-4	0	0	12.77864077669903	141.12167846700478	FGR;HTR6;HTR7;SYK;SRC;DRD1
regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882)	3/21	2.0112323798504123E-5	3.3479283615356093E-4	0	0	69.20486111111111	748.3936731282719	ATP1A2;ATP1B1;CALM1
ERBB signaling pathway (GO:0038127)	4/66	2.404969245497517E-5	3.942692005497445E-4	0	0	27.298558682223746	290.3307729596717	HSP90AA1;PIK3CA;SRC;EGFR
peptidyl-tyrosine phosphorylation (GO:0018108)	4/69	2.868553179120908E-5	4.632499313147496E-4	0	0	26.03469721767594	272.29996199102357	FGR;SYK;SRC;EGFR
regulation of monooxygenase activity (GO:0032768)	3/24	3.044239845139448E-5	4.843922812413063E-4	0	0	59.30952380952381	616.7997266711214	HSP90AA1;CALM1;EGFR
axonogenesis (GO:0007409)	6/240	3.215548668668699E-5	5.042353129709467E-4	0	0	11.233618233618234	116.21096577208827	HSP90AA1;PIK3CA;SRC;DRD2;EPHB4;EPHA2
protein phosphorylation (GO:0006468)	8/496	3.373095384200929E-5	5.213841722436293E-4	0	0	7.4193671368661835	76.397925507084	FGR;SYK;SRC;ATM;MAP3K9;EPHB4;EGFR;MTOR
negative regulation of sequestering of calcium ion (GO:0051283)	3/25	3.453150475056014E-5	5.26240678029663E-4	0	0	56.61079545454545	581.598845967846	HTR2C;HTR2A;DRD2
positive regulation of cytosolic calcium ion concentration (GO:0007204)	5/147	3.5846272176305076E-5	5.386898124272513E-4	0	0	15.161512553582364	155.1973509689296	HTR2C;ADRA1D;DRD1;ADRA1B;DRD2
regulation of potassium ion transmembrane transporter activity (GO:1901016)	3/26	3.896550965832325E-5	5.697389385176454E-4	0	0	54.14673913043478	549.7428362104145	ATP1B3;ATP1B2;ATP1B1
positive regulation of ion transmembrane transporter activity (GO:0032414)	3/26	3.896550965832325E-5	5.697389385176454E-4	0	0	54.14673913043478	549.7428362104145	ATP1B3;ATP1B2;ATP1B1
release of sequestered calcium ion into cytosol (GO:0051209)	3/27	4.3757476399839474E-5	6.312745261950174E-4	0	0	51.888020833333336	520.792181789402	HTR2C;HTR2A;DRD2
negative regulation of calcium ion transmembrane transporter activity (GO:1901020)	3/28	4.892036785487742E-5	6.786133079356072E-4	0	0	49.81	494.3800262044663	ATP1A2;DRD2;CALM1
positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway (GO:0051482)	3/28	4.892036785487742E-5	6.786133079356072E-4	0	0	49.81	494.3800262044663	HTR2C;DRD1;DRD2
response to ketone (GO:1901654)	3/28	4.892036785487742E-5	6.786133079356072E-4	0	0	49.81	494.3800262044663	CATSPER1;CATSPER2;CATSPER4
regulation of catecholamine uptake involved in synaptic transmission (GO:0051940)	2/5	6.343848911664257E-5	8.44230634939861E-4	0	0	271.3741496598639	2622.950505962369	DRD1;DRD2
regulation of phosphatidylinositol biosynthetic process (GO:0010511)	2/5	6.343848911664257E-5	8.44230634939861E-4	0	0	271.3741496598639	2622.950505962369	HTR2C;HTR2A
positive regulation of mast cell activation involved in immune response (GO:0033008)	2/5	6.343848911664257E-5	8.44230634939861E-4	0	0	271.3741496598639	2622.950505962369	FGR;SYK
regulation of MAPK cascade (GO:0043408)	5/166	6.398051022649593E-5	8.44230634939861E-4	0	0	13.359438293275723	129.0111878068786	SYK;ADRA1D;ADRA1B;EGFR;EPHA2
phosphorylation (GO:0016310)	7/400	6.585334073904792E-5	8.584736708391548E-4	0	0	7.916493176035161	76.22063277306106	FGR;SYK;PIK3CA;STAT3;ATM;MAP3K9;MTOR
regulation of potassium ion transport (GO:0043266)	3/31	6.676272444380559E-5	8.599674743833053E-4	0	0	44.466517857142854	427.5173618821509	KCNH2;DRD1;DRD2
regulation of cell migration (GO:0030334)	7/408	7.455993273610676E-5	9.491040849466766E-4	0	0	7.755384266606212	73.70645306607037	FGR;SRC;STAT3;ATM;DRD1;DRD2;EGFR
negative regulation of cytosolic calcium ion concentration (GO:0051481)	2/6	9.500271376770704E-5	0.0011549768123220116	0	0	203.5204081632653	1884.9256503609552	ATP1A2;DRD2
regulation of superoxide metabolic process (GO:0090322)	2/6	9.500271376770704E-5	0.0011549768123220116	0	0	203.5204081632653	1884.9256503609552	DHFR;SYK
positive regulation of heart rate by epinephrine-norepinephrine (GO:0001996)	2/6	9.500271376770704E-5	0.0011549768123220116	0	0	203.5204081632653	1884.9256503609552	ADRA1D;ADRA1B
prepulse inhibition (GO:0060134)	2/6	9.500271376770704E-5	0.0011549768123220116	0	0	203.5204081632653	1884.9256503609552	DRD1;DRD2
regulation of kinase activity (GO:0043549)	4/94	9.655097445431921E-5	0.0011607572706619266	0	0	18.77919621749409	173.62192166865736	FGR;EPHB4;EGFR;EPHA2
phospholipase C-activating dopamine receptor signaling pathway (GO:0060158)	2/7	1.3278706358199E-4	0.0015616913347360128	0	0	162.80816326530612	1453.3500081608856	DRD1;DRD2
positive regulation of phospholipid biosynthetic process (GO:0071073)	2/7	1.3278706358199E-4	0.0015616913347360128	0	0	162.80816326530612	1453.3500081608856	HTR2C;HTR2A
response to organonitrogen compound (GO:0010243)	3/40	1.443908136229408E-4	0.0016799017240862575	0	0	33.63513513513514	297.43506109844793	DHFR;DRD2;MTOR
regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	4/106	1.5378421608722224E-4	0.0017701544873018561	0	0	16.559866499791404	145.39496766570502	FGR;PIK3CA;SRC;EGFR
calcium ion transmembrane import into cytosol (GO:0097553)	3/42	1.6717245151712492E-4	0.0019040062372792546	0	0	31.90705128205128	277.47918120791064	HTR2C;HTR2A;DRD2
regulation of dopamine uptake involved in synaptic transmission (GO:0051584)	2/8	1.7676086739790736E-4	0.0019717036961292345	0	0	135.66666666666666	1172.256699198754	DRD1;DRD2
ventricular cardiac muscle cell membrane repolarization (GO:0099625)	2/8	1.7676086739790736E-4	0.0019717036961292345	0	0	135.66666666666666	1172.256699198754	KCNH2;KCND3
action potential (GO:0001508)	3/45	2.0552561186822234E-4	0.002269170531034863	0	0	29.623511904761905	251.50183569337895	KCNH2;KCND2;KCNA1
regulation of synaptic transmission, glutamatergic (GO:0051966)	3/46	2.194702633998556E-4	0.0023660077677710124	0	0	28.933139534883722	243.7412682553804	ATP1A2;DRD1;DRD2
regulation of telomerase activity (GO:0051972)	3/46	2.194702633998556E-4	0.0023660077677710124	0	0	28.933139534883722	243.7412682553804	HSP90AA1;SRC;ATM
anoikis (GO:0043276)	2/9	2.268935624318299E-4	0.0023660077677710124	0	0	116.2798833819242	975.7079361806791	PIK3CA;MTOR
cellular response to leptin stimulus (GO:0044320)	2/9	2.268935624318299E-4	0.0023660077677710124	0	0	116.2798833819242	975.7079361806791	UGCG;STAT3
positive regulation of mast cell degranulation (GO:0043306)	2/9	2.268935624318299E-4	0.0023660077677710124	0	0	116.2798833819242	975.7079361806791	FGR;SYK
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	4/118	2.3227568459226097E-4	0.0023660077677710124	0	0	14.807764091078761	123.90523351904835	ADRA1D;DRD1;ADRA1B;DRD2
positive regulation of protein-containing complex assembly (GO:0031334)	4/118	2.3227568459226097E-4	0.0023660077677710124	0	0	14.807764091078761	123.90523351904835	HSP90AA1;SYK;SRC;ATM
epidermal growth factor receptor signaling pathway (GO:0007173)	3/47	2.3401370012414164E-4	0.0023660077677710124	0	0	28.274147727272727	236.3755759949328	PIK3CA;SRC;EGFR
cellular response to lipid (GO:0071396)	5/219	2.344872913299402E-4	0.0023660077677710124	0	0	10.023872409589599	83.78061986842835	ATP1A3;ATP1A2;ATM;ATP1A1;EGFR
positive regulation of multicellular organismal process (GO:0051240)	6/345	2.3616343707880713E-4	0.0023660077677710124	0	0	7.7128810226155355	64.4101650077533	FGR;SYK;EHMT1;ADRA1D;ADRA1B;MTOR
positive regulation of cell motility (GO:2000147)	5/221	2.4455743566260783E-4	0.0024276251870361623	0	0	9.930052334943639	82.57891465444428	FGR;STAT3;ATM;DRD1;EGFR
negative regulation of voltage-gated calcium channel activity (GO:1901386)	2/10	2.831546947100322E-4	0.0027112688466925205	0	0	101.73979591836735	831.1650111787942	CALM1;DRD2
G protein-coupled serotonin receptor signaling pathway (GO:0098664)	2/10	2.831546947100322E-4	0.0027112688466925205	0	0	101.73979591836735	831.1650111787942	HTR2C;HTR2A
response to histamine (GO:0034776)	2/10	2.831546947100322E-4	0.0027112688466925205	0	0	101.73979591836735	831.1650111787942	HRH1;DRD2
leptin-mediated signaling pathway (GO:0033210)	2/10	2.831546947100322E-4	0.0027112688466925205	0	0	101.73979591836735	831.1650111787942	UGCG;STAT3
regulation of ERK1 and ERK2 cascade (GO:0070372)	5/238	3.440400761733361E-4	0.00325083530864473	0	0	9.197611494681844	73.34867440469357	SYK;HTR2C;HTR2A;EGFR;EPHA2
interleukin-35-mediated signaling pathway (GO:0070757)	2/11	3.455139191258262E-4	0.00325083530864473	0	0	90.43083900226758	720.7769792087644	STAT3;IL12A
regulation of cell adhesion (GO:0030155)	4/133	3.6662280797180593E-4	0.0034197058467715	0	0	13.076034966188356	103.44682720153146	SRC;IL12A;ATM;EPHA2
purine nucleoside monophosphate biosynthetic process (GO:0009127)	2/12	4.139409991332273E-4	0.0037956284835775583	0	0	81.38367346938776	633.9614904314446	IMPDH1;IMPDH2
regulation of muscle system process (GO:0090257)	2/12	4.139409991332273E-4	0.0037956284835775583	0	0	81.38367346938776	633.9614904314446	KCNA1;ATP1A2
negative regulation of autophagy (GO:0010507)	3/59	4.591743494940272E-4	0.004175013833214601	0	0	22.202008928571427	170.64642952156123	PIK3CA;STAT3;MTOR
response to organic cyclic compound (GO:0014070)	3/60	4.8247544820875137E-4	0.004350320291348909	0	0	21.81140350877193	166.56453921484714	DHFR;STAT3;DRD2
pteridine-containing compound metabolic process (GO:0042558)	2/13	4.884058068615739E-4	0.004367397380365479	0	0	73.98144712430427	564.0614766653882	HSP90AA1;CALM1
regulation of cytosolic calcium ion concentration (GO:0051480)	4/148	5.491437022377603E-4	0.004808799573587903	0	0	11.705082742316785	87.87181656756027	ADRA1D;ATP1A2;ADRA1B;DRD2
positive regulation of transferase activity (GO:0051347)	4/148	5.491437022377603E-4	0.004808799573587903	0	0	11.705082742316785	87.87181656756027	HSP90AA1;EPHB4;EGFR;EPHA2
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	4/149	5.632376427387574E-4	0.004808799573587903	0	0	11.623771093176815	86.96683422693835	HSP90AA1;KCNH5;TUBB;BRD4
positive regulation of leukocyte degranulation (GO:0043302)	2/14	5.688783229383101E-4	0.004808799573587903	0	0	67.81292517006803	506.6875974033785	FGR;SYK
ribonucleoside monophosphate biosynthetic process (GO:0009156)	2/14	5.688783229383101E-4	0.004808799573587903	0	0	67.81292517006803	506.6875974033785	IMPDH1;IMPDH2
positive regulation of sodium ion transmembrane transporter activity (GO:2000651)	2/14	5.688783229383101E-4	0.004808799573587903	0	0	67.81292517006803	506.6875974033785	FXYD2;ATP1B1
potassium ion export across plasma membrane (GO:0097623)	2/14	5.688783229383101E-4	0.004808799573587903	0	0	67.81292517006803	506.6875974033785	KCNH2;KCND3
positive regulation of MAPK cascade (GO:0043410)	5/274	6.531641872226442E-4	0.005412714382149894	0	0	7.952157750121222	58.31859635231202	HTR2C;ADRA1D;HTR2A;ADRA1B;EGFR
catecholamine metabolic process (GO:0006584)	2/15	6.553286359164845E-4	0.005412714382149894	0	0	62.59340659340659	458.83306235776007	DRD1;DRD2
GTP metabolic process (GO:0046039)	2/15	6.553286359164845E-4	0.005412714382149894	0	0	62.59340659340659	458.83306235776007	IMPDH1;IMPDH2
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	3/67	6.670006237028307E-4	0.005444153155276028	0	0	19.4189453125	142.00530155068068	HSP90AA1;PIK3CA;SRC
regulation of signal transduction by p53 class mediator (GO:1901796)	4/156	6.69198123522839E-4	0.005444153155276028	0	0	11.084546472564389	81.0217208782503	EHMT2;EHMT1;ATM;MTOR
negative regulation of anoikis (GO:2000811)	2/16	7.477269425466376E-4	0.005904365806666328	0	0	58.119533527696795	418.3718752445384	PIK3CA;SRC
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	2/16	7.477269425466376E-4	0.005904365806666328	0	0	58.119533527696795	418.3718752445384	IMPDH1;IMPDH2
regulation of mast cell degranulation (GO:0043304)	2/16	7.477269425466376E-4	0.005904365806666328	0	0	58.119533527696795	418.3718752445384	FGR;SYK
positive regulation of vasoconstriction (GO:0045907)	2/16	7.477269425466376E-4	0.005904365806666328	0	0	58.119533527696795	418.3718752445384	ADRA1D;ADRA1B
positive regulation of protein kinase B signaling (GO:0051897)	4/161	7.53052200850234E-4	0.005904365806666328	0	0	10.728825044043909	77.15501502358687	HSP90AA1;PIK3CA;SRC;EGFR
phosphatidylinositol-mediated signaling (GO:0048015)	3/71	7.901086851781953E-4	0.006150342427070556	0	0	18.27297794117647	130.53009508306167	PIK3CA;HTR2A;KCNH1
regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881)	2/17	8.460435467739499E-4	0.0064923341674426515	0	0	54.2421768707483	383.7601319651186	ATP1A2;CALM1
positive regulation of heart rate (GO:0010460)	2/17	8.460435467739499E-4	0.0064923341674426515	0	0	54.2421768707483	383.7601319651186	ADRA1D;ADRA1B
integrin-mediated signaling pathway (GO:0007229)	3/75	9.26798741435889E-4	0.0070459582758391846	0	0	17.25434027777778	120.50041514783926	FGR;SYK;SRC
negative regulation of cation transmembrane transport (GO:1904063)	2/18	9.502488602876735E-4	0.0070459582758391846	0	0	50.849489795918366	353.85075072456357	KCNH2;ATP1A2
interleukin-6-mediated signaling pathway (GO:0070102)	2/18	9.502488602876735E-4	0.0070459582758391846	0	0	50.849489795918366	353.85075072456357	SRC;STAT3
