Outcome	drug	Outcome2
Manual Inspection	prasterone-acetate	No-Effect
No-Effect	parthenolide-(alternate-stereo)	No-Effect
Manual Inspection	tyrphostin-AG-1296	No-Effect
Manual Inspection	benzoclidine	No-Effect
No-Effect	meta-cresyl-acetate	No-Effect
No-Effect	SGC-0946	No-Effect
No-Effect	1-naphthyl-PP1	No-Effect
No-Effect	cinchonine	No-Effect
No-Effect	GAL-021	No-Effect
No-Effect	bamaquimast	No-Effect
No-Effect	TRAM-34	No-Effect
No-Effect	3-bromopyruvate	No-Effect
Weak (50%)	XMD8-92	Weak (50%)
No-Effect	SM-164	No-Effect
No-Effect	ON123300	No-Effect
No-Effect	K-Ras(G12C)-inhibitor-12	No-Effect
No-Effect	S1P1-agonist-III	No-Effect
No-Effect	AG-555	No-Effect
No-Effect	BQU57	No-Effect
No-Effect	CCG-63808	No-Effect
No-Effect	GDC-0879	No-Effect
Manual Inspection	salidroside	No-Effect
No-Effect	EPZ005687	No-Effect
No-Effect	trans-2-undecenoic-acid	No-Effect
No-Effect	quinolinic-acid	No-Effect
No-Effect	iodoantipyrine	No-Effect
No-Effect	monostearin	No-Effect
No-Effect	EPZ011989	No-Effect
No-Effect	ML167	No-Effect
No-Effect	PETCM	No-Effect
No-Effect	CaCCinh-A01	No-Effect
No-Effect	CYM-50769	No-Effect
Strong (80%)	DDR1-IN-1	No-Effect
No-Effect	TCID	No-Effect
Manual Inspection	BMS-309403	No-Effect
Manual Inspection	TFC-007	No-Effect
No-Effect	AZ191	No-Effect
No-Effect	DR-4485	No-Effect
No-Effect	JW-642	No-Effect
Manual Inspection	ML347	No-Effect
No-Effect	RN-1	No-Effect
Very Weak (35%)	TRAM-39	Very Weak (35%)
No-Effect	PLX647	No-Effect
No-Effect	PDP-EA	No-Effect
No-Effect	SC-144	No-Effect
No-Effect	CU-CPT-4a	No-Effect
Manual Inspection	UAMC-00039	No-Effect
Very Weak (35%)	AC-710	Very Weak (35%)
Manual Inspection	A12B4C3	No-Effect
No-Effect	CCG-1423	No-Effect
Manual Inspection	GKA-50	No-Effect
No-Effect	SIS3	No-Effect
No-Effect	TC-S-7006	No-Effect
No-Effect	GSK2837808A	No-Effect
Strong (80%)	NVP-ADW742	Strong (80%)
No-Effect	XL388	No-Effect
No-Effect	I-CBP-112	No-Effect
Cyto	TG-101209	Cyto
No-Effect	GSK1904529A	No-Effect
No-Effect	OXA-06	No-Effect
No-Effect	T-5601640	No-Effect
No-Effect	NS-19504	No-Effect
Very Weak (35%)	SGI-1027	Very Weak (35%)
No-Effect	S-07662	No-Effect
No-Effect	SNG-1153	No-Effect
Low (25%)	ciproxifan	Low (25%)
Low (25%)	estradiol-benzoate	Low (25%)
No-Effect	wnt-c59	No-Effect
No-Effect	OF-1	No-Effect
No-Effect	R-268712	No-Effect
Strong (80%)	WAY-600	Strong (80%)
No-Effect	BAM7	No-Effect
No-Effect	DAA-1106	No-Effect
Low (25%)	imidurea	Low (25%)
No-Effect	naltrindole	No-Effect
No-Effect	VU591	No-Effect
Manual Inspection	N-[2-(piperidinylamino)ethyl]-4-iodobenzamide	No-Effect
Low (25%)	LY411575	Low (25%)
No-Effect	ML179	No-Effect
Strong (80%)	NVP-AEW541	Strong (80%)
No-Effect	KI-20227	No-Effect
Very Weak (35%)	CNX-774	Very Weak (35%)
Manual Inspection	VU29	No-Effect
Strong (80%)	JHW-007	Strong (80%)
No-Effect	2-[1-(4-piperonyl)piperazinyl]benzothiazole	No-Effect
No-Effect	N-benzylnaltrindole	No-Effect
Low (25%)	TC-S-7005	Low (25%)
Cyto	PF-431396	Cyto
Manual Inspection	IEM1754	No-Effect
No-Effect	A-839977	No-Effect
No-Effect	CEP-33779	No-Effect
No-Effect	ADX-47273	No-Effect
Cyto	A-674563	Cyto
No-Effect	TAME	No-Effect
No-Effect	skepinone-L	No-Effect
No-Effect	OSI-420	No-Effect
No-Effect	CCT128930	No-Effect
Cyto	Ro-1138452	Cyto
No-Effect	2-iodomelatonin	No-Effect
No-Effect	GW-542573X	No-Effect
Low (25%)	ICA-069673	Low (25%)
No-Effect	3-bromo-7-nitroindazole	No-Effect
No-Effect	UK-5099	No-Effect
Weak (50%)	LUF-5834	Weak (50%)
No-Effect	Ro-67-7476	No-Effect
Cyto	ID-8	Cyto
No-Effect	SEN-1269	No-Effect
No-Effect	ISO-1	No-Effect
No-Effect	BC-11	No-Effect
Very Weak (35%)	tyrphostin-AG-835	Very Weak (35%)
No-Effect	ryuvidine	No-Effect
No-Effect	CPSI-1306-(+/-)	No-Effect
No-Effect	alpha-methylhistamine-dihydrobromide-(R)-(-)	No-Effect
No-Effect	WZ811	No-Effect
No-Effect	ZM-323881	No-Effect
No-Effect	WAY-213613	No-Effect
No-Effect	BRL-15572	No-Effect
No-Effect	BRL-52537	No-Effect
Cyto	propranolol-(R)	Cyto
Low (25%)	thiamet-g	Low (25%)
No-Effect	2-PMDQ	No-Effect
No-Effect	GW-4064	No-Effect
No-Effect	JNJ-16259685	No-Effect
No-Effect	trap-101	No-Effect
No-Effect	4-PPBP	No-Effect
Strong (80%)	IKK-16	No-Effect
Very Weak (35%)	chromanol-293B-(-)-[3R,4S]	Very Weak (35%)
No-Effect	JNJ-10191584	No-Effect
Manual Inspection	ZM-306416	No-Effect
No-Effect	PD-198306	No-Effect
Weak (50%)	BIBU-1361	Weak (50%)
Cyto	NSC-632839	Cyto
No-Effect	A205804	No-Effect
No-Effect	LY320135	No-Effect
No-Effect	N-methylquipazine	No-Effect
No-Effect	DAPT	No-Effect
Manual Inspection	JTE-013	No-Effect
No-Effect	PACOCF3	No-Effect
No-Effect	CGK-733	No-Effect
No-Effect	DPO-1	No-Effect
No-Effect	CO-101244	No-Effect
No-Effect	AMN-082	No-Effect
No-Effect	quipazine	No-Effect
No-Effect	PSB-06126	No-Effect
No-Effect	UCL-2077	No-Effect
No-Effect	T-0901317	No-Effect
No-Effect	YM-298198	No-Effect
No-Effect	Ro-90-7501	No-Effect
No-Effect	RS-504393	No-Effect
No-Effect	PHTPP	No-Effect
Cyto	SB-218078	Cyto
No-Effect	1400W	No-Effect
No-Effect	SX-011	No-Effect
Manual Inspection	arecaidine-propargyl-ester	No-Effect
Low (25%)	TRIM	Low (25%)
Strong (80%)	tetrandrine	Strong (80%)
No-Effect	splitomycin	No-Effect
No-Effect	YM-298198-desmethyl	No-Effect
Strong (80%)	SNAP-5089	Strong (80%)
Weak (50%)	CD-1530	Weak (50%)
No-Effect	BML-284	No-Effect
No-Effect	AZD5582	No-Effect
No-Effect	NVP-TAE684	No-Effect
No-Effect	felypressin	No-Effect
No-Effect	HC-067047	No-Effect
No-Effect	EVP4593	No-Effect
No-Effect	erastin	No-Effect
No-Effect	cryptotanshinone	No-Effect
No-Effect	aurora-a-inhibitor-i	No-Effect
No-Effect	TAK-632	No-Effect
No-Effect	flumexadol	No-Effect
No-Effect	AMI-1	No-Effect
No-Effect	MDL-27531	No-Effect
No-Effect	2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one	No-Effect
No-Effect	1-hexadecanal	No-Effect
No-Effect	nitrosodimethylurea	No-Effect
No-Effect	dimethyl-isosorbide	No-Effect
No-Effect	5-(4chlorophenyl)-4-ethyl-2,4-dihydro-3H-1,2,4-triazol-3-one	No-Effect
Cyto	GSK2334470	Cyto
Low (25%)	dodecyl-sulfate	Low (25%)
No-Effect	DMeOB	No-Effect
No-Effect	N20C	No-Effect
No-Effect	NFKB-activation-inhibitor-II	No-Effect
No-Effect	piceatannol	No-Effect
No-Effect	DFB	No-Effect
No-Effect	KU14R	No-Effect
No-Effect	PIT	No-Effect
Manual Inspection	D-phenylalanine	No-Effect
No-Effect	azaguanine-8	No-Effect
Weak (50%)	3,4-methylenedioxy-beta-nitrostyrene	Weak (50%)
Manual Inspection	EBPC	No-Effect
Manual Inspection	4-carboxy-3-hydroxyphenylglycine-(S)	No-Effect
No-Effect	alrestatin	No-Effect
No-Effect	4-DAMP	No-Effect
No-Effect	YZ9	No-Effect
No-Effect	FERb-033	No-Effect
Manual Inspection	VUF10460	No-Effect
No-Effect	INH1	No-Effect
No-Effect	1-(1,2-diphenylethyl)piperidine-(+/-)	No-Effect
No-Effect	diphenyleneiodonium	No-Effect
No-Effect	PF-04885614	No-Effect
No-Effect	8-hydroxy-DPAT	No-Effect
No-Effect	plurisin-1	No-Effect
No-Effect	PAOPA	No-Effect
No-Effect	NKY-80	No-Effect
Manual Inspection	MMPX	No-Effect
Manual Inspection	2-hydroxysaclofen	No-Effect
No-Effect	m-chlorophenylbiguanide	No-Effect
Strong (80%)	NSC-319726	Strong (80%)
No-Effect	7-chlorokynurenic-acid	No-Effect
Strong (80%)	calpeptin	Strong (80%)
No-Effect	dimaprit	No-Effect
No-Effect	OR-486	No-Effect
No-Effect	SU3327	No-Effect
Manual Inspection	BYK-204165	No-Effect
No-Effect	AZ-12080282	No-Effect
No-Effect	SMI-4a	No-Effect
Strong (80%)	SPP86	Strong (80%)
No-Effect	SKA-31	No-Effect
Manual Inspection	Ro-20-1724	No-Effect
No-Effect	5-hydroxydecanoic-acid	No-Effect
No-Effect	GGsTop	No-Effect
No-Effect	GBR-13069	No-Effect
No-Effect	nitrocaramiphen	No-Effect
No-Effect	cinanserin	No-Effect
No-Effect	SR-2211	No-Effect
No-Effect	GBR-12935	No-Effect
Strong (80%)	golgicide-A	No-Effect
No-Effect	A-987306	No-Effect
No-Effect	CS-110266	No-Effect
No-Effect	MJ-15	No-Effect
No-Effect	WAY-207024	No-Effect
No-Effect	NIDA-41020	No-Effect
No-Effect	SF-11	No-Effect
No-Effect	TCS-2314	No-Effect
Low (25%)	BMS-470539	Low (25%)
No-Effect	YIL-781	No-Effect
No-Effect	hydrastinine	No-Effect
No-Effect	sinomenine	No-Effect
